city,hdi,avg_sch_dur,gender_empwr,life_exp,pov_pop_perc
Simeulue,65.70,9.08,64.51,65.22,18.99
Aceh Singkil,68.91,8.52,59.72,67.36,20.78
Aceh Selatan,66.90,8.59,55.96,64.27,13.09
Aceh Tenggara,69.36,9.65,58.10,68.04,13.43
Aceh Timur,67.39,7.86,53.21,68.67,14.47
Aceh Tengah,73.14,9.69,68.18,68.82,15.50
Aceh Barat,71.22,9.09,56.89,67.93,18.79
Aceh Besar,73.55,10.31,47.73,69.77,13.92
Pidie,70.41,8.82,64.70,66.89,19.46
Bireuen,72.27,9.27,57.90,71.16,13.56
Aceh Utara,69.22,8.46,50.65,68.79,17.39
Aceh Barat Daya,66.56,8.35,51.90,64.91,16.26
Gayo Lues,66.87,7.91,56.51,65.38,19.87
Aceh Tamiang,69.23,8.89,74.39,69.52,13.38
Nagan Raya,69.11,8.50,61.80,69.14,17.97
Aceh Jaya,69.74,8.66,58.29,67.11,13.36
Bener Meriah,72.97,9.78,52.36,69.19,19.30
Pidie Jaya,72.87,9.04,55.49,70.06,19.31
Kota Banda Aceh,85.07,12.64,63.30,71.36,7.22
Kota Sabang,75.77,11.13,76.01,70.45,15.60
Kota Langsa,77.16,11.10,65.12,69.37,10.57
Kota Lhokseumawe,77.30,10.90,58.25,71.52,11.18
Kota Subulussalam,64.46,7.58,69.01,63.94,17.95
Nias,61.65,5.15,63.15,69.68,15.94
Mandailing Natal,66.52,8.36,72.70,62.51,9.11
Tapanuli Selatan,69.75,8.97,71.03,64.82,8.60
Tapanuli Tengah,68.86,8.48,60.40,67.08,12.53
Tapanuli Utara,73.33,9.71,62.81,68.46,9.48
Toba Samosir,74.92,10.36,59.60,69.93,8.60
Labuhan Batu,71.94,9.23,71.47,69.86,8.44
Asahan,69.92,8.49,69.10,68.11,9.68
Simalungun,72.98,9.36,62.33,71.07,8.81
Dairi,71.42,9.34,62.12,68.79,7.70
Karo,74.25,9.62,75.32,71.27,8.23
Deli Serdang,75.43,10.08,54.81,71.61,3.89
Langkat,70.76,8.64,66.21,68.59,9.91
Nias Selatan,61.59,5.53,64.63,68.58,16.45
Humbang Hasundutan,68.83,9.53,72.08,69.06,8.75
Pakpak Bharat,67.47,8.73,64.93,65.59,9.27
Samosir,70.55,9.15,79.78,71.16,12.52
Serdang Bedagai,70.21,8.53,65.70,68.46,7.90
Batu Bara,68.35,8.02,61.49,66.75,12.14
Padang Lawas Utara,69.29,9.10,67.58,67.06,9.60
Padang Lawas,68.16,8.69,55.81,66.98,8.28
Labuhan Batu Selatan,71.39,8.74,60.81,68.64,8.94
Labuhan Batu Utara,71.43,8.36,47.29,69.37,9.57
Nias Utara,61.98,6.25,67.57,69.29,24.99
